mediSpanDrug,mediSpanDisease
medispan:C0355683,medispan:C0002874
medispan:C0355684,medispan:C0002874
medispan:C0355685,medispan:C0002874
medispan:C0357438,medispan:C0002874
medispan:C0357439,medispan:C0002874
medispan:C0357483,medispan:C0002874
medispan:C0359601,medispan:C0002874
medispan:C0542711,medispan:C0002874
medispan:C0542952,medispan:C0002874
medispan:C0688123,medispan:C0002874
medispan:C0688125,medispan:C0002874
medispan:C0688173,medispan:C0002874
medispan:C0688175,medispan:C0002874
medispan:C0688855,medispan:C0002874
medispan:C0688856,medispan:C0002874
medispan:C0688916,medispan:C0002874
medispan:C0688918,medispan:C0002874
medispan:C0688931,medispan:C0002874
medispan:C0688932,medispan:C0002874
medispan:C0689151,medispan:C0002874
medispan:C0689204,medispan:C0002874
medispan:C0689206,medispan:C0002874
medispan:C0689366,medispan:C0002874
medispan:C0689394,medispan:C0002874
medispan:C0689396,medispan:C0002874
medispan:C0689451,medispan:C0002874
medispan:C0689908,medispan:C0002874
medispan:C0690427,medispan:C0002874
medispan:C0690527,medispan:C0002874
medispan:C0690529,medispan:C0002874
medispan:C0690530,medispan:C0002874
medispan:C0690531,medispan:C0002874
medispan:C0690532,medispan:C0002874
medispan:C0690534,medispan:C0002874
medispan:C0690605,medispan:C0002874
medispan:C0690606,medispan:C0002874
medispan:C0690607,medispan:C0002874
medispan:C0690779,medispan:C0002874
medispan:C0690780,medispan:C0002874
medispan:C0690781,medispan:C0002874
medispan:C0690782,medispan:C0002874
medispan:C0691039,medispan:C0002874
medispan:C0692730,medispan:C0002874
medispan:C0692839,medispan:C0002874
medispan:C0693378,medispan:C0002874
medispan:C0694021,medispan:C0002874
medispan:C0694027,medispan:C0002874
medispan:C0705112,medispan:C0002874
medispan:C0706477,medispan:C0002874
medispan:C0776371,medispan:C0002874
medispan:C0780890,medispan:C0002874
medispan:C0783598,medispan:C0002874
medispan:C0787030,medispan:C0002874
medispan:C0787042,medispan:C0002874
medispan:C0787142,medispan:C0002874
medispan:C0788625,medispan:C0002874
medispan:C0789390,medispan:C0002874
medispan:C0789393,medispan:C0002874
medispan:C0792025,medispan:C0002874
medispan:C0792361,medispan:C0002874
medispan:C0792433,medispan:C0002874
medispan:C0793268,medispan:C0002874
medispan:C0876575,medispan:C0002874
medispan:C0975226,medispan:C0002874
medispan:C0975227,medispan:C0002874
medispan:C0975229,medispan:C0002874
medispan:C0975240,medispan:C0002874
medispan:C0975243,medispan:C0002874
medispan:C0975246,medispan:C0002874
medispan:C0975384,medispan:C0002874
medispan:C0975385,medispan:C0002874
medispan:C0975386,medispan:C0002874
medispan:C0975387,medispan:C0002874
medispan:C0975388,medispan:C0002874
medispan:C0975389,medispan:C0002874
medispan:C0976868,medispan:C0002874
medispan:C0976874,medispan:C0002874
medispan:C0976984,medispan:C0002874
medispan:C0977031,medispan:C0002874
medispan:C0977577,medispan:C0002874
medispan:C0977744,medispan:C0002874
medispan:C0977745,medispan:C0002874
medispan:C0978243,medispan:C0002874
medispan:C0978244,medispan:C0002874
medispan:C0979478,medispan:C0002874
medispan:C0979479,medispan:C0002874
medispan:C0979499,medispan:C0002874
medispan:C0979501,medispan:C0002874
medispan:C0979502,medispan:C0002874
medispan:C0979998,medispan:C0002874
medispan:C0980669,medispan:C0002874
medispan:C0980670,medispan:C0002874
medispan:C0980671,medispan:C0002874
medispan:C0980674,medispan:C0002874
medispan:C0980675,medispan:C0002874
medispan:C0980728,medispan:C0002874
medispan:C0981433,medispan:C0002874
medispan:C0981441,medispan:C0002874
medispan:C0982820,medispan:C0002874
medispan:C0991765,medispan:C0002874
medispan:C0690527,medispan:C0002878
medispan:C0690529,medispan:C0002878
medispan:C0690530,medispan:C0002878
medispan:C0690531,medispan:C0002878
medispan:C0690532,medispan:C0002878
medispan:C0690534,medispan:C0002878
medispan:C0691039,medispan:C0002878
medispan:C0691422,medispan:C0002878
medispan:C0691423,medispan:C0002878
medispan:C0691424,medispan:C0002878
medispan:C0691426,medispan:C0002878
medispan:C0691427,medispan:C0002878
medispan:C0691431,medispan:C0002878
medispan:C0691433,medispan:C0002878
medispan:C0691439,medispan:C0002878
medispan:C0691726,medispan:C0002878
medispan:C0691727,medispan:C0002878
medispan:C0692230,medispan:C0002878
medispan:C0692516,medispan:C0002878
medispan:C0692745,medispan:C0002878
medispan:C0693174,medispan:C0002878
medispan:C0693378,medispan:C0002878
medispan:C0693466,medispan:C0002878
medispan:C0694041,medispan:C0002878
medispan:C0703166,medispan:C0002878
medispan:C0704144,medispan:C0002878
medispan:C0705524,medispan:C0002878
medispan:C0705538,medispan:C0002878
medispan:C0706477,medispan:C0002878
medispan:C0708686,medispan:C0002878
medispan:C0708688,medispan:C0002878
medispan:C0732255,medispan:C0002878
medispan:C0773175,medispan:C0002878
medispan:C0776145,medispan:C0002878
medispan:C0778568,medispan:C0002878
medispan:C0779796,medispan:C0002878
medispan:C0779981,medispan:C0002878
medispan:C0780890,medispan:C0002878
medispan:C0780985,medispan:C0002878
medispan:C0781137,medispan:C0002878
medispan:C0781249,medispan:C0002878
medispan:C0781656,medispan:C0002878
medispan:C0781663,medispan:C0002878
medispan:C0783598,medispan:C0002878
medispan:C0785562,medispan:C0002878
medispan:C0785901,medispan:C0002878
medispan:C0786273,medispan:C0002878
medispan:C0787042,medispan:C0002878
medispan:C0787142,medispan:C0002878
medispan:C0787166,medispan:C0002878
medispan:C0788625,medispan:C0002878
medispan:C0789283,medispan:C0002878
medispan:C0789390,medispan:C0002878
medispan:C0789393,medispan:C0002878
medispan:C0792361,medispan:C0002878
medispan:C0792433,medispan:C0002878
medispan:C0792658,medispan:C0002878
medispan:C0793160,medispan:C0002878
medispan:C0793268,medispan:C0002878
medispan:C0872752,medispan:C0002878
medispan:C0873378,medispan:C0002878
medispan:C0873452,medispan:C0002878
medispan:C0873653,medispan:C0002878
medispan:C0873671,medispan:C0002878
medispan:C0874437,medispan:C0002878
medispan:C0938282,medispan:C0002878
medispan:C0938354,medispan:C0002878
medispan:C0938366,medispan:C0002878
medispan:C0938487,medispan:C0002878
medispan:C0938657,medispan:C0002878
medispan:C0975226,medispan:C0002878
medispan:C0975227,medispan:C0002878
medispan:C0975229,medispan:C0002878
medispan:C0975388,medispan:C0002878
medispan:C0975389,medispan:C0002878
medispan:C0976048,medispan:C0002878
medispan:C0976435,medispan:C0002878
medispan:C0976874,medispan:C0002878
medispan:C0976890,medispan:C0002878
medispan:C0976901,medispan:C0002878
medispan:C0976903,medispan:C0002878
medispan:C0976907,medispan:C0002878
medispan:C0976908,medispan:C0002878
medispan:C0976909,medispan:C0002878
medispan:C0976910,medispan:C0002878
medispan:C0976984,medispan:C0002878
medispan:C0977031,medispan:C0002878
medispan:C0977577,medispan:C0002878
medispan:C0977744,medispan:C0002878
medispan:C0977745,medispan:C0002878
medispan:C0977930,medispan:C0002878
medispan:C0978243,medispan:C0002878
medispan:C0978244,medispan:C0002878
medispan:C0979316,medispan:C0002878
medispan:C0979345,medispan:C0002878
medispan:C0979364,medispan:C0002878
medispan:C0979478,medispan:C0002878
medispan:C0979479,medispan:C0002878
medispan:C0979499,medispan:C0002878
medispan:C0979501,medispan:C0002878
medispan:C0995120,medispan:C0002874
medispan:C1272548,medispan:C0002874
medispan:C1304696,medispan:C0002874
medispan:C1321921,medispan:C0002874
medispan:C1321922,medispan:C0002874
medispan:C1509657,medispan:C0002874
medispan:C1591277,medispan:C0002874
medispan:C1626919,medispan:C0002874
medispan:C1676705,medispan:C0002874
medispan:C1876920,medispan:C0002874
medispan:C1997624,medispan:C0002874
medispan:C2240463,medispan:C0002874
medispan:C2240738,medispan:C0002874
medispan:C2240739,medispan:C0002874
medispan:C2718524,medispan:C0002874
medispan:C2719283,medispan:C0002874
medispan:C2719740,medispan:C0002874
medispan:C2720120,medispan:C0002874
medispan:C0542713,medispan:C0002874
medispan:C0688917,medispan:C0002874
medispan:C0692840,medispan:C0002874
medispan:C0692841,medispan:C0002874
medispan:C0774394,medispan:C0002874
medispan:C0781696,medispan:C0002874
medispan:C0783299,medispan:C0002874
medispan:C0783592,medispan:C0002874
medispan:C0783593,medispan:C0002874
medispan:C0784965,medispan:C0002874
medispan:C0786067,medispan:C0002874
medispan:C0787069,medispan:C0002874
medispan:C0787299,medispan:C0002874
medispan:C0787319,medispan:C0002874
medispan:C0787474,medispan:C0002874
medispan:C0788725,medispan:C0002874
medispan:C0789701,medispan:C0002874
medispan:C0790333,medispan:C0002874
medispan:C0790453,medispan:C0002874
medispan:C0790855,medispan:C0002874
medispan:C0791883,medispan:C0002874
medispan:C0792181,medispan:C0002874
medispan:C0792182,medispan:C0002874
medispan:C0792310,medispan:C0002874
medispan:C0792365,medispan:C0002874
medispan:C0973841,medispan:C0002874
medispan:C0976987,medispan:C0002874
medispan:C0976988,medispan:C0002874
medispan:C1576627,medispan:C0002874
medispan:C2342580,medispan:C0002874
medispan:C2342658,medispan:C0002874
medispan:C2342661,medispan:C0002874
medispan:C2342663,medispan:C0002874
medispan:C2342664,medispan:C0002874
medispan:C2342665,medispan:C0002874
medispan:C2342667,medispan:C0002874
medispan:C2342668,medispan:C0002874
medispan:C2342669,medispan:C0002874
medispan:C2682002,medispan:C0002874
medispan:C2682003,medispan:C0002874
medispan:C2682391,medispan:C0002874
medispan:C0353936,medispan:C0002878
medispan:C0355683,medispan:C0002878
medispan:C0355684,medispan:C0002878
medispan:C0355685,medispan:C0002878
medispan:C0357438,medispan:C0002878
medispan:C0357439,medispan:C0002878
medispan:C0357483,medispan:C0002878
medispan:C0359198,medispan:C0002878
medispan:C0359601,medispan:C0002878
medispan:C0542867,medispan:C0002878
medispan:C0543060,medispan:C0002878
medispan:C0592721,medispan:C0002878
medispan:C0688173,medispan:C0002878
medispan:C0688175,medispan:C0002878
medispan:C0688441,medispan:C0002878
medispan:C0688618,medispan:C0002878
medispan:C0688621,medispan:C0002878
medispan:C0688627,medispan:C0002878
medispan:C0688855,medispan:C0002878
medispan:C0688856,medispan:C0002878
medispan:C0688916,medispan:C0002878
medispan:C0688918,medispan:C0002878
medispan:C0688931,medispan:C0002878
medispan:C0688932,medispan:C0002878
medispan:C0688934,medispan:C0002878
medispan:C0689204,medispan:C0002878
medispan:C0689206,medispan:C0002878
medispan:C0689394,medispan:C0002878
medispan:C0689396,medispan:C0002878
medispan:C0689442,medispan:C0002878
medispan:C0689443,medispan:C0002878
medispan:C0689451,medispan:C0002878
medispan:C0689455,medispan:C0002878
medispan:C0689504,medispan:C0002878
medispan:C0689631,medispan:C0002878
medispan:C0689633,medispan:C0002878
medispan:C0690424,medispan:C0002878
medispan:C0690427,medispan:C0002878
medispan:C0690468,medispan:C0002878
medispan:C0690469,medispan:C0002878
medispan:C0690472,medispan:C0002878
medispan:C0979502,medispan:C0002878
medispan:C0979998,medispan:C0002878
medispan:C0980546,medispan:C0002878
medispan:C0980549,medispan:C0002878
medispan:C0980669,medispan:C0002878
medispan:C0980670,medispan:C0002878
medispan:C0980671,medispan:C0002878
medispan:C0980674,medispan:C0002878
medispan:C0980675,medispan:C0002878
medispan:C0981433,medispan:C0002878
medispan:C0981441,medispan:C0002878
medispan:C0981593,medispan:C0002878
medispan:C0982822,medispan:C0002878
medispan:C0991714,medispan:C0002878
medispan:C0991765,medispan:C0002878
medispan:C0995120,medispan:C0002878
medispan:C1123024,medispan:C0002878
medispan:C1168668,medispan:C0002878
medispan:C1168704,medispan:C0002878
medispan:C1168818,medispan:C0002878
medispan:C1275984,medispan:C0002878
medispan:C1304696,medispan:C0002878
medispan:C1329045,medispan:C0002878
medispan:C1359255,medispan:C0002878
medispan:C1509238,medispan:C0002878
medispan:C1509522,medispan:C0002878
medispan:C1509657,medispan:C0002878
medispan:C1591577,medispan:C0002878
medispan:C1612954,medispan:C0002878
medispan:C1614225,medispan:C0002878
medispan:C1623075,medispan:C0002878
medispan:C1626919,medispan:C0002878
medispan:C1629879,medispan:C0002878
medispan:C1676705,medispan:C0002878
medispan:C1711790,medispan:C0002878
medispan:C1876532,medispan:C0002878
medispan:C1876920,medispan:C0002878
medispan:C1948503,medispan:C0002878
medispan:C1962249,medispan:C0002878
medispan:C1964301,medispan:C0002878
medispan:C1965586,medispan:C0002878
medispan:C1965620,medispan:C0002878
medispan:C1965633,medispan:C0002878
medispan:C1965689,medispan:C0002878
medispan:C1965692,medispan:C0002878
medispan:C1965879,medispan:C0002878
medispan:C1966307,medispan:C0002878
medispan:C1966384,medispan:C0002878
medispan:C1967129,medispan:C0002878
medispan:C1967677,medispan:C0002878
medispan:C1997624,medispan:C0002878
medispan:C2240463,medispan:C0002878
medispan:C2240738,medispan:C0002878
medispan:C2240739,medispan:C0002878
medispan:C2343194,medispan:C0002878
medispan:C2587025,medispan:C0002878
medispan:C2609935,medispan:C0002878
medispan:C2609939,medispan:C0002878
medispan:C2609950,medispan:C0002878
medispan:C2710145,medispan:C0002878
medispan:C2718524,medispan:C0002878
medispan:C2719283,medispan:C0002878
medispan:C2719740,medispan:C0002878
medispan:C2720120,medispan:C0002878
medispan:C0542661,medispan:C0002878
medispan:C0688625,medispan:C0002878
medispan:C0688640,medispan:C0002878
medispan:C0688642,medispan:C0002878
medispan:C0688917,medispan:C0002878
medispan:C0691420,medispan:C0002878
medispan:C0691430,medispan:C0002878
medispan:C0691442,medispan:C0002878
medispan:C0691728,medispan:C0002878
medispan:C0691729,medispan:C0002878
medispan:C0691730,medispan:C0002878
medispan:C0692070,medispan:C0002878
medispan:C0693891,medispan:C0002878
medispan:C0694061,medispan:C0002878
medispan:C0694249,medispan:C0002878
medispan:C0703164,medispan:C0002878
medispan:C0704310,medispan:C0002878
medispan:C0704319,medispan:C0002878
medispan:C0713054,medispan:C0002878
medispan:C0774394,medispan:C0002878
medispan:C0778060,medispan:C0002878
medispan:C0781696,medispan:C0002878
medispan:C0783299,medispan:C0002878
medispan:C0783592,medispan:C0002878
medispan:C0783593,medispan:C0002878
medispan:C0784246,medispan:C0002878
medispan:C0784247,medispan:C0002878
medispan:C0784248,medispan:C0002878
medispan:C0784249,medispan:C0002878
medispan:C0784250,medispan:C0002878
medispan:C0784251,medispan:C0002878
medispan:C0784252,medispan:C0002878
medispan:C0784253,medispan:C0002878
medispan:C0784254,medispan:C0002878
medispan:C0784259,medispan:C0002878
medispan:C0784262,medispan:C0002878
medispan:C0784263,medispan:C0002878
medispan:C0784264,medispan:C0002878
medispan:C0784265,medispan:C0002878
medispan:C0784285,medispan:C0002878
medispan:C0785587,medispan:C0002878
medispan:C0785603,medispan:C0002878
medispan:C0785746,medispan:C0002878
medispan:C0786067,medispan:C0002878
medispan:C0786268,medispan:C0002878
medispan:C0786269,medispan:C0002878
medispan:C0786270,medispan:C0002878
medispan:C0786271,medispan:C0002878
medispan:C0786272,medispan:C0002878
medispan:C0786275,medispan:C0002878
medispan:C0786276,medispan:C0002878
medispan:C0786277,medispan:C0002878
medispan:C0786279,medispan:C0002878
medispan:C0786280,medispan:C0002878
medispan:C0786281,medispan:C0002878
medispan:C0786282,medispan:C0002878
medispan:C0786419,medispan:C0002878
medispan:C0786811,medispan:C0002878
medispan:C0787095,medispan:C0002878
medispan:C0787103,medispan:C0002878
medispan:C0787126,medispan:C0002878
medispan:C0787150,medispan:C0002878
medispan:C0787152,medispan:C0002878
medispan:C0787163,medispan:C0002878
medispan:C0787319,medispan:C0002878
medispan:C0787474,medispan:C0002878
medispan:C0787568,medispan:C0002878
medispan:C0787569,medispan:C0002878
medispan:C0787571,medispan:C0002878
medispan:C0787572,medispan:C0002878
medispan:C0788725,medispan:C0002878
medispan:C0788893,medispan:C0002878
medispan:C0788894,medispan:C0002878
medispan:C0789368,medispan:C0002878
medispan:C0789369,medispan:C0002878
medispan:C0789370,medispan:C0002878
medispan:C0789448,medispan:C0002878
medispan:C0789530,medispan:C0002878
medispan:C0789778,medispan:C0002878
medispan:C0789867,medispan:C0002878
medispan:C0790490,medispan:C0002878
medispan:C0790818,medispan:C0002878
medispan:C0790855,medispan:C0002878
medispan:C0791128,medispan:C0002878
medispan:C0791883,medispan:C0002878
medispan:C0792181,medispan:C0002878
medispan:C0792182,medispan:C0002878
medispan:C0792202,medispan:C0002878
medispan:C0792286,medispan:C0002878
medispan:C0792287,medispan:C0002878
medispan:C0792365,medispan:C0002878
medispan:C0792836,medispan:C0002878
medispan:C0793248,medispan:C0002878
medispan:C0793310,medispan:C0002878
medispan:C0793331,medispan:C0002878
medispan:C0793351,medispan:C0002878
medispan:C0793530,medispan:C0002878
medispan:C0793847,medispan:C0002878
medispan:C0794050,medispan:C0002878
medispan:C0794051,medispan:C0002878
medispan:C0794100,medispan:C0002878
medispan:C0794159,medispan:C0002878
medispan:C0794388,medispan:C0002878
medispan:C0794844,medispan:C0002878
medispan:C0795204,medispan:C0002878
medispan:C0795240,medispan:C0002878
medispan:C0795409,medispan:C0002878
medispan:C0873669,medispan:C0002878
medispan:C0937066,medispan:C0002878
medispan:C0938048,medispan:C0002878
medispan:C0973841,medispan:C0002878
medispan:C0974581,medispan:C0002878
medispan:C0975655,medispan:C0002878
medispan:C0975658,medispan:C0002878
medispan:C0976441,medispan:C0002878
medispan:C0976442,medispan:C0002878
medispan:C0976892,medispan:C0002878
medispan:C0976897,medispan:C0002878
medispan:C0976906,medispan:C0002878
medispan:C0976914,medispan:C0002878
medispan:C0976987,medispan:C0002878
medispan:C0976988,medispan:C0002878
medispan:C0979347,medispan:C0002878
medispan:C0981223,medispan:C0002878
medispan:C0981407,medispan:C0002878
medispan:C1168730,medispan:C0002878
medispan:C1177131,medispan:C0002878
medispan:C1177852,medispan:C0002878
medispan:C1339855,medispan:C0002878
medispan:C1341567,medispan:C0002878
medispan:C1351774,medispan:C0002878
medispan:C1355020,medispan:C0002878
medispan:C1359252,medispan:C0002878
medispan:C1359254,medispan:C0002878
medispan:C1359316,medispan:C0002878
medispan:C1359516,medispan:C0002878
medispan:C1361004,medispan:C0002878
medispan:C1509239,medispan:C0002878
medispan:C1509829,medispan:C0002878
medispan:C1613657,medispan:C0002878
medispan:C1614059,medispan:C0002878
medispan:C1618329,medispan:C0002878
medispan:C1633713,medispan:C0002878
medispan:C1711792,medispan:C0002878
medispan:C1711873,medispan:C0002878
medispan:C1712078,medispan:C0002878
medispan:C1965626,medispan:C0002878
medispan:C1965630,medispan:C0002878
medispan:C1965645,medispan:C0002878
medispan:C1965881,medispan:C0002878
medispan:C1967307,medispan:C0002878
medispan:C1967656,medispan:C0002878
medispan:C2342580,medispan:C0002878
medispan:C2342658,medispan:C0002878
medispan:C2342661,medispan:C0002878
medispan:C2342663,medispan:C0002878
medispan:C2342664,medispan:C0002878
medispan:C2342665,medispan:C0002878
medispan:C2342667,medispan:C0002878
medispan:C2342668,medispan:C0002878
medispan:C2342669,medispan:C0002878
medispan:C2345397,medispan:C0002878
medispan:C2684485,medispan:C0002878
medispan:C2718673,medispan:C0002878
medispan:C2726918,medispan:C0002878
medispan:C0354286,medispan:C0003811
medispan:C0354447,medispan:C0003811
medispan:C0357218,medispan:C0003811
medispan:C0357338,medispan:C0003811
medispan:C0542867,medispan:C0003811
medispan:C0592721,medispan:C0003811
medispan:C0687868,medispan:C0003811
medispan:C0687936,medispan:C0003811
medispan:C0688618,medispan:C0003811
medispan:C0688621,medispan:C0003811
medispan:C0688626,medispan:C0003811
medispan:C0688627,medispan:C0003811
medispan:C0688781,medispan:C0003811
medispan:C0688782,medispan:C0003811
medispan:C0688916,medispan:C0003811
medispan:C0688918,medispan:C0003811
medispan:C0689204,medispan:C0003811
medispan:C0689206,medispan:C0003811
medispan:C0689498,medispan:C0003811
medispan:C0689500,medispan:C0003811
medispan:C0689644,medispan:C0003811
medispan:C0689752,medispan:C0003811
medispan:C0689754,medispan:C0003811
medispan:C0689771,medispan:C0003811
medispan:C0690527,medispan:C0003811
medispan:C0690529,medispan:C0003811
medispan:C0690530,medispan:C0003811
medispan:C0690531,medispan:C0003811
medispan:C0690532,medispan:C0003811
medispan:C0690534,medispan:C0003811
medispan:C0690809,medispan:C0003811
medispan:C0692278,medispan:C0003811
medispan:C0692395,medispan:C0003811
medispan:C0693009,medispan:C0003811
medispan:C0693153,medispan:C0003811
medispan:C0693167,medispan:C0003811
medispan:C0693345,medispan:C0003811
medispan:C0693346,medispan:C0003811
medispan:C0693430,medispan:C0003811
medispan:C0693466,medispan:C0003811
medispan:C0693889,medispan:C0003811
medispan:C0702531,medispan:C0003811
medispan:C0702541,medispan:C0003811
medispan:C0706477,medispan:C0003811
medispan:C0709150,medispan:C0003811
medispan:C0775260,medispan:C0003811
medispan:C0780890,medispan:C0003811
medispan:C0780985,medispan:C0003811
medispan:C0782729,medispan:C0003811
medispan:C0787042,medispan:C0003811
medispan:C0788625,medispan:C0003811
medispan:C0788741,medispan:C0003811
medispan:C0788742,medispan:C0003811
medispan:C0788743,medispan:C0003811
medispan:C0789876,medispan:C0003811
medispan:C0791381,medispan:C0003811
medispan:C0791422,medispan:C0003811
medispan:C0791475,medispan:C0003811
medispan:C0792433,medispan:C0003811
medispan:C0792464,medispan:C0003811
medispan:C0793268,medispan:C0003811
medispan:C0794455,medispan:C0003811
medispan:C0794796,medispan:C0003811
medispan:C0874718,medispan:C0003811
medispan:C0874720,medispan:C0003811
medispan:C0874721,medispan:C0003811
medispan:C0875129,medispan:C0003811
medispan:C0936206,medispan:C0003811
medispan:C0937346,medispan:C0003811
medispan:C0938788,medispan:C0003811
medispan:C0973923,medispan:C0003811
medispan:C0974542,medispan:C0003811
medispan:C0974933,medispan:C0003811
medispan:C0974934,medispan:C0003811
medispan:C0975000,medispan:C0003811
medispan:C0975001,medispan:C0003811
medispan:C0975002,medispan:C0003811
medispan:C0975120,medispan:C0003811
medispan:C0975121,medispan:C0003811
medispan:C0975122,medispan:C0003811
medispan:C0975123,medispan:C0003811
medispan:C0975226,medispan:C0003811
medispan:C0975227,medispan:C0003811
medispan:C0975229,medispan:C0003811
medispan:C0976341,medispan:C0003811
medispan:C0976342,medispan:C0003811
medispan:C0976345,medispan:C0003811
medispan:C0976347,medispan:C0003811
medispan:C0976406,medispan:C0003811
medispan:C0976458,medispan:C0003811
medispan:C0976984,medispan:C0003811
medispan:C0977031,medispan:C0003811
medispan:C0977744,medispan:C0003811
medispan:C0977745,medispan:C0003811
medispan:C0978131,medispan:C0003811
medispan:C0978132,medispan:C0003811
medispan:C0978245,medispan:C0003811
medispan:C0978246,medispan:C0003811
medispan:C0978248,medispan:C0003811
medispan:C0978475,medispan:C0003811
medispan:C0978476,medispan:C0003811
medispan:C0978477,medispan:C0003811
medispan:C0978480,medispan:C0003811
medispan:C0978681,medispan:C0003811
medispan:C0978862,medispan:C0003811
medispan:C0978863,medispan:C0003811
medispan:C0980040,medispan:C0003811
medispan:C0980041,medispan:C0003811
medispan:C0980042,medispan:C0003811
medispan:C0980669,medispan:C0003811
medispan:C0980670,medispan:C0003811
medispan:C0980671,medispan:C0003811
medispan:C0980674,medispan:C0003811
medispan:C0980675,medispan:C0003811
medispan:C0980783,medispan:C0003811
medispan:C0981370,medispan:C0003811
medispan:C0981433,medispan:C0003811
medispan:C0981441,medispan:C0003811
medispan:C0981712,medispan:C0003811
medispan:C0991715,medispan:C0003811
medispan:C0991765,medispan:C0003811
medispan:C1177614,medispan:C0003811
medispan:C1177615,medispan:C0003811
medispan:C1304696,medispan:C0003811
medispan:C1322120,medispan:C0003811
medispan:C1322121,medispan:C0003811
medispan:C1322123,medispan:C0003811
medispan:C1509260,medispan:C0003811
medispan:C1585113,medispan:C0003811
medispan:C1591577,medispan:C0003811
medispan:C1694513,medispan:C0003811
medispan:C1712048,medispan:C0003811
medispan:C1712055,medispan:C0003811
medispan:C1712056,medispan:C0003811
medispan:C1813011,medispan:C0003811
medispan:C1813805,medispan:C0003811
medispan:C1814026,medispan:C0003811
medispan:C1873556,medispan:C0003811
medispan:C1878050,medispan:C0003811
medispan:C1962138,medispan:C0003811
medispan:C2370474,medispan:C0003811
medispan:C2587025,medispan:C0003811
medispan:C2718624,medispan:C0003811
