gene,drug,action
pharmgkb:PA449456,pharmgkb:PA139,dbv:inhibitor
pharmgkb:PA451100,pharmgkb:PA29476,dbv:ligand
pharmgkb:PA164746297,pharmgkb:PA35026,dbv:potentiator
pharmgkb:PA451100,pharmgkb:PA181,dbv:agonist
pharmgkb:PA451457,pharmgkb:PA38,dbv:antagonist
pharmgkb:PA164768736,pharmgkb:PA38,dbv:partial-agonist
pharmgkb:PA451145,pharmgkb:PA38,dbv:antagonist
pharmgkb:PA164743150,pharmgkb:PA38,dbv:antagonist
pharmgkb:PA448641,pharmgkb:PA38,dbv:antagonist
pharmgkb:PA164776726,pharmgkb:PA28476,dbv:antagonist
pharmgkb:PA449673,pharmgkb:PA312,dbv:inhibitor
pharmgkb:PA451283,pharmgkb:PA281,dbv:agonist
pharmgkb:PA451142,pharmgkb:PA31942,dbv:agonist
pharmgkb:PA451142,pharmgkb:PA31943,dbv:antagonist
pharmgkb:PA164776726,pharmgkb:PA28552,dbv:antagonist
pharmgkb:PA164776726,pharmgkb:PA30778,dbv:antagonist
pharmgkb:PA164776726,pharmgkb:PA30778,dbv:inhibitor
pharmgkb:PA451283,pharmgkb:PA27968,dbv:inhibitor
pharmgkb:PA164746297,pharmgkb:PA27940,dbv:inhibitor
pharmgkb:PA451457,pharmgkb:PA39,dbv:antagonist
pharmgkb:PA164768736,pharmgkb:PA39,dbv:antagonist
pharmgkb:PA451145,pharmgkb:PA39,dbv:antagonist
pharmgkb:PA164743150,pharmgkb:PA39,dbv:antagonist
pharmgkb:PA448641,pharmgkb:PA39,dbv:antagonist
pharmgkb:PA451145,pharmgkb:PA192,dbv:other-unknown
pharmgkb:PA451145,pharmgkb:PA24598,dbv:antagonist
pharmgkb:PA451721,pharmgkb:PA24346,dbv:inhibitor
pharmgkb:PA164743150,pharmgkb:PA24597,dbv:antagonist
pharmgkb:PA451145,pharmgkb:PA29549,dbv:other-unknown
pharmgkb:PA164743150,pharmgkb:PA34,dbv:antagonist
pharmgkb:PA451721,pharmgkb:PA293,dbv:inhibitor
pharmgkb:PA164743150,pharmgkb:PA33,dbv:antagonist
pharmgkb:PA451142,pharmgkb:PA31945,dbv:agonist
pharmgkb:PA451457,pharmgkb:PA212,dbv:inhibitor
pharmgkb:PA164776726,pharmgkb:PA28551,dbv:antagonist
pharmgkb:PA450947,pharmgkb:PA304,dbv:inhibitor
pharmgkb:PA449470,pharmgkb:PA333,dbv:inhibitor
pharmgkb:PA449673,pharmgkb:PA260,dbv:substrate
pharmgkb:PA451283,pharmgkb:PA164743293,dbv:substrate
pharmgkb:PA449673,pharmgkb:PA164743293,dbv:substrate
pharmgkb:PA451100,pharmgkb:PA164743293,dbv:substrate
pharmgkb:PA451283,pharmgkb:PA164752827,dbv:substrate
pharmgkb:PA449673,pharmgkb:PA164752827,dbv:substrate
pharmgkb:PA451100,pharmgkb:PA164752827,dbv:substrate
pharmgkb:PA451283,pharmgkb:PA164749380,dbv:substrate
pharmgkb:PA449673,pharmgkb:PA164749380,dbv:substrate
pharmgkb:PA451100,pharmgkb:PA164749380,dbv:substrate
pharmgkb:PA451283,pharmgkb:PA24690,dbv:substrate
pharmgkb:PA449673,pharmgkb:PA24690,dbv:substrate
pharmgkb:PA451100,pharmgkb:PA24690,dbv:substrate
pharmgkb:PA164781029,pharmgkb:PA130,dbv:substrate
pharmgkb:PA164760843,pharmgkb:PA130,dbv:inducer
pharmgkb:PA164750168,pharmgkb:PA157,dbv:activator
pharmgkb:PA164750168,pharmgkb:PA131548935,dbv:inactivator
pharmgkb:PA164750168,pharmgkb:PA33799,dbv:inactivator
pharmgkb:PA164781029,pharmgkb:PA27093,dbv:substrate
pharmgkb:PA164748137,pharmgkb:PA27093,dbv:substrate
pharmgkb:PA164781029,pharmgkb:PA129,dbv:substrate
pharmgkb:PA449758,pharmgkb:PA126,dbv:inhibitor
pharmgkb:PA449808,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA164748137,pharmgkb:PA35848,dbv:inhibitor
pharmgkb:PA449470,pharmgkb:PA32911,dbv:antagonist
pharmgkb:PA449470,pharmgkb:PA38,dbv:agonist
pharmgkb:PA449470,pharmgkb:PA36,dbv:agonist
pharmgkb:PA449470,pharmgkb:PA37,dbv:agonist
pharmgkb:PA449470,pharmgkb:PA435,dbv:antagonist
pharmgkb:PA449470,pharmgkb:PA39,dbv:agonist
pharmgkb:PA449470,pharmgkb:PA35,dbv:agonist
pharmgkb:PA449470,pharmgkb:PA24598,dbv:agonist
pharmgkb:PA449470,pharmgkb:PA24597,dbv:antagonist
pharmgkb:PA449470,pharmgkb:PA34,dbv:agonist
pharmgkb:PA449470,pharmgkb:PA33,dbv:agonist
pharmgkb:PA164754884,pharmgkb:PA25903,dbv:binder
pharmgkb:PA164754884,pharmgkb:PA25904,dbv:binder
pharmgkb:PA164754884,pharmgkb:PA28066,dbv:antagonist
pharmgkb:PA164754884,pharmgkb:PA25897,dbv:binder
pharmgkb:PA164754884,pharmgkb:PA25911,dbv:binder
pharmgkb:PA164750168,pharmgkb:PA37337,dbv:binder
pharmgkb:PA164754884,pharmgkb:PA28065,dbv:antagonist
